task_type,domain,input_language,privacy_requirement,hardware_available,hallucination_tolerance,determinism_needed,temperature_pref,output_style,best_model,score_GPT-4o,score_Gemini,score_Claude-2,score_Llama-3-70B,score_Deepseek
classification,general,multi,cloud,cpu,high,0,high,creative,Llama-3-70B,0.999,0.172,2.33,4.105,0.953
extraction,finance,pt,cloud,cpu,high,0,high,formal,Deepseek,0.153,2.016,0.353,4.206,4.409
extraction,finance,pt,cloud,consumer_gpu,low,0,high,factual,Gemini,0.407,4.107,2.748,2.617,2.655
generation,medical,pt,cloud,pro_gpu,low,0,medium,creative,Gemini,1.088,5.297,2.063,0.818,3.418
generation,medical,multi,cloud,cpu,medium,0,medium,creative,Gemini,1.193,3.655,1.714,2.015,3.391
extraction,medical,multi,local,pro_gpu,high,0,high,creative,Llama-3-70B,-0.278,0.27,0.575,5.38,4.642
classification,technical,pt,local,edge,low,0,medium,precise,Deepseek,-2.62,0.07,0.197,3.288,4.165
reasoning,technical,en,cloud,consumer_gpu,high,1,high,creative,GPT-4o,3.456,1.042,2.608,0.734,1.739
extraction,technical,pt,cloud,cpu,medium,1,medium,formal,Llama-3-70B,0.348,0.234,-1.323,3.74,3.504
generation,general,pt,local,pro_gpu,medium,1,low,formal,Deepseek,-0.844,1.208,-1.989,3.369,4.947
extraction,technical,en,cloud,consumer_gpu,high,1,low,precise,Deepseek,1.365,1.923,1.865,3.422,3.506
summarization,legal,multi,cloud,consumer_gpu,high,1,high,factual,Gemini,3.186,5.032,3.138,1.566,0.195
generation,legal,pt,cloud,cpu,low,0,low,formal,Gemini,-0.396,4.663,0.979,1.561,3.963
reasoning,ecommerce,pt,cloud,consumer_gpu,medium,1,high,creative,GPT-4o,3.971,0.986,1.701,1.072,1.571
classification,technical,multi,local,pro_gpu,medium,0,medium,factual,Llama-3-70B,-0.928,0.008,1.693,5.313,0.976
summarization,finance,pt,hybrid,pro_gpu,medium,0,high,creative,Gemini,3.864,4.517,0.94,2.318,2.602
generation,technical,multi,local,cpu,low,0,high,precise,Deepseek,-2.344,1.971,0.196,3.196,3.638
reasoning,general,pt,hybrid,pro_gpu,medium,0,low,formal,GPT-4o,2.9,1.183,1.566,1.694,1.903
extraction,general,pt,local,pro_gpu,high,0,low,factual,Llama-3-70B,-0.981,-0.106,-1.94,4.934,4.922
